Age,N,E,U,UN,UE,NU,NE,EU,EN,EE,Wage,Tax,Equilibrium
87,0.0003691339851988789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
88,0.000328608229573052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
89,0.00028972009266739083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
90,0.00025276223211061736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
91,0.00021800640786755267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
92,0.00018569399921260896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
93,0.00015602657684057943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
94,0.00012915709435222018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
95,0.00010518232887328884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
96,8.413725065153239e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
97,6.599197537233894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
98,5.065184475089489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
99,3.796099747308633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
100,2.573682889226734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Partial, no subsidy"
